"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 06:52:30 GMT 2023","Tue Oct 24 06:54:29 GMT 2023","119007","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"broken","Tue Oct 24 06:51:52 GMT 2023","Tue Oct 24 06:54:08 GMT 2023","136701","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"broken","Tue Oct 24 06:51:40 GMT 2023","Tue Oct 24 06:53:56 GMT 2023","135583","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Tue Oct 24 06:48:40 GMT 2023","Tue Oct 24 06:50:34 GMT 2023","114025","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"broken","Tue Oct 24 06:51:38 GMT 2023","Tue Oct 24 06:53:58 GMT 2023","139326","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"broken","Tue Oct 24 06:51:34 GMT 2023","Tue Oct 24 06:53:50 GMT 2023","135294","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"failed","Tue Oct 24 06:56:09 GMT 2023","Tue Oct 24 06:58:00 GMT 2023","111454","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
